id, x, y
c,0.671965641637344,2.07406183023942
g,-0.260400040992569,0.343877095070263
a,0.0739220513452355,-0.785024991366099
g,0.282655286067909,1.40455952076253
b,1.71543352582267,-0.637664455796854
h,-0.106328327286131,1.2773749761558
t,1.40736405922968,0.0303458432577158
n,1.43137832477579,0.818839801515156
t,0.455222053775101,0.832951086160776
g,-0.304866950442703,0.66141340330498
t,-0.213972268203898,0.203390638344489
c,-1.51097282533212,-0.809163095251877
v,0.337166782216625,-0.479388651609403
p,0.605199968108805,-0.627530729680125
a,0.547841399624651,0.383052238399562
m,-0.70888419573673,-0.0427058827661058
v,1.09196799576414,1.55594567529914
k,1.88912977323282,-0.27518900553081
j,1.4054100347049,1.75531227617027
f,-1.57480745936281,-1.01538648434221
y,-0.471792940685567,0.272727411799844
d,0.316907479747836,1.50737399044251
e,0.815047658551627,1.41567437764033
u,-1.21747834535175,1.97868241103803
y,0.152638394378394,-1.12592278718349
s,1.68432140146851,1.61387287870316
q,1.9950003103975,-1.12970450508711
z,1.41876450961816,0.149400008907949
u,1.58033273516449,-2.77371291866518
v,-0.423010522938282,-0.733753007173348
h,-0.571358606266798,0.887032605726455
m,-0.0885789926292017,0.440715917111267
t,-0.854537287744278,-1.50068143110021
o,-0.972505821506698,-0.469209092503111
v,0.706766681135166,1.32625764860263
k,0.68932411609232,-1.05834244415744
i,0.163399951686758,-2.47892527913297
k,-0.36223107344236,0.352786301414419
p,-0.126149370852477,-1.0756855516839
k,-0.213719173644225,1.22136518993565
g,1.20456706346402,-0.76234127226295
x,0.246754715421443,-0.156253148982964
h,1.38623948480275,1.47923721100404
u,1.72381676543572,-0.196419172158114
u,-0.0415298690760944,-1.10821047802703
z,-0.901705951893747,-1.81554391150843
n,0.468469858493031,0.466955834145389
a,-1.62429722322147,-1.82530800652921
q,0.225018787731654,-0.441630549608828
y,0.723225570210139,0.016183257564831
g,-0.443735743833954,-0.780766191681424
m,-0.962291951094169,-1.28495877886221
g,-1.47646491052951,-0.251279119335021
o,0.46452162897855,-0.189133698164611
b,0.21428288200953,-1.00212331389616
e,-1.61555506181683,-0.204881657273698
c,0.501676963555409,0.666499354125732
u,-0.553278015733413,-1.19942354896217
j,-0.365298600724441,-0.210071266129864
a,0.402705731716962,0.306700715701477
w,-0.604596456618856,-0.346911792856777
x,-0.0760259543066332,0.809562085111633
m,-0.763874523813675,-0.260313422322189
m,0.129566636959403,-0.366076089152567
o,0.605933943955001,-1.57216041173702
l,0.621526129267148,-0.380197970770444
e,2.41533325766936,-1.78399569845954
y,0.661295135054143,2.23045691233322
s,-0.10477506600037,0.178574398668794
q,-0.710521048980668,0.564329086474592
c,0.0226944415656208,-0.966039112302266
a,1.65315999960562,-0.252912798371252
t,-0.053428036285853,-0.505609240919956
n,-0.960808708893705,-0.168130047079427
v,-0.0428011815628257,-0.273648742565973
m,-0.117235485612116,0.776697882985318
a,-0.0785130632182246,1.14865257042683
v,-0.640174311351483,-2.85577208985576
c,0.499756724053631,-1.00584519041077
q,-0.218863527288016,-0.600235407106437
s,-1.05790453775596,-1.05829237291693
s,0.26591592567935,0.0130303869479013
y,1.36216128852303,-0.79503992315081
g,-1.02294298650315,-0.845844569941536
z,-0.674552717730827,-0.0727396507532427
x,-0.302602544862115,-0.413157765919891
u,0.141145452623451,-0.287962732880786
h,1.42182568250947,-0.566272185743404
l,0.396838049927374,0.854500902730014
n,-0.777583747629575,0.498293954666129
g,-1.05227774880638,0.259306063927961
m,0.68870513647347,1.14317428970059
d,-1.05049651496489,-0.597130690760507
k,1.58968942875371,0.257334081730295
x,0.441163658389836,2.26472982772129
j,-0.396334384217535,0.615777840010411
g,-0.639913270380666,1.71535428818071
u,0.820408556411755,0.18689702070251
k,0.233836097245639,-0.259247553606351
q,-1.41421030951785,0.588876624149661
b,1.09053610438806,0.747982816919786
l,-0.0620507085202229,0.178144443354758
i,-0.717087411327673,0.310665022482819
x,-0.665463262006401,-0.419883670083465
a,0.0271513479722148,-0.621667896662672
r,1.05626246230352,0.663282661236018
z,0.774807552079895,-0.0654408230502975
w,1.20005064909861,0.520133618997131
y,-0.256129197929097,-0.592813577919446
r,-1.34676444926022,1.05613784306302
a,-0.193449047283711,-0.416692543362681
y,-1.239939879616,-0.0689627579378964
t,-1.0097021223734,1.48750062066686
a,2.23919981201533,-0.268966286486624
i,2.53112003097624,-1.28319227559091
q,1.34073511888375,-0.681410393556577
n,1.04755306991393,-0.131035055751005
u,0.270360509391288,-0.394305127637889
r,-2.58592716644649,0.223853459540191
y,1.20591204074346,0.92327177742567
c,0.0985592938962523,-0.605637053380108
